,NZ_AAXW01000147.1,NZ_ABGO01000668.1,NZ_AJGR01000348.1,NZ_AMRJ01000086.1,NZ_AOHQ01000007.1,NZ_AOHQ01000014.1,NZ_BACU01000424.1,NZ_BBPQ01000069.1,NZ_CADY01000105.1,NZ_CZJT01000016.1,NZ_CZJT01000067.1,NZ_CZJV02000012.1,NZ_FWFF01000005.1,NZ_JMQR01000270.1,NZ_JOJA01000157.1,NZ_KV811623.1,NZ_LGEL01000336.1,NZ_LJIY01000039.1,NZ_LMHD01000020.1,NZ_LTAB01000093.1,NZ_LTAB01000098.1,NZ_LXSU01000122.1,NZ_LZSC01000066.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSH01000161.1,NZ_LZSQ01000037.1,NZ_LZSQ01000106.1,NZ_LZSZ01000039.1,NZ_MKPY01000053.1,NZ_MKPY01000074.1,NZ_MKQB01000042.1,NZ_MPOR01000079.1,NZ_MPRK01000378.1,NZ_MSRF01000238.1,NZ_MTQB01000071.1,NZ_MUHV01000033.1,NZ_NAEX01000098.1,NZ_NAJR01000058.1,NZ_NDFI01000069.1,NZ_NHRF01000060.1,NZ_NHRF01000112.1,NZ_NOWF01000150.1,NZ_NPMS01000031.1,NZ_NPMW01000058.1,NZ_PEKU01000294.1,NZ_PEKU01000405.1,NZ_PEKU01000435.1,NZ_PIZR01000043.1
NZ_CZJT01000067.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
NZ_CZJV02000012.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
NZ_FWFF01000005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
NZ_JMQR01000270.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,
NZ_JOJA01000157.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
NZ_KV811623.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LGEL01000336.1,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_LJIY01000039.1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LMHD01000020.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
NZ_LTAB01000093.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NZ_LTAB01000098.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
NZ_LXSU01000122.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LZSC01000066.1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LZSE01000001.1,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LZSE01000015.1,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
NZ_LZSE01000027.1,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,3.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
NZ_LZSH01000161.1,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
NZ_LZSQ01000037.1,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,
NZ_LZSQ01000106.1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LZSZ01000039.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_MKPY01000053.1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MKPY01000074.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MKQB01000042.1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MPOR01000079.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MPRK01000378.1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_MSRF01000238.1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
NZ_MTQB01000071.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
NZ_MUHV01000033.1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_NAEX01000098.1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_NAJR01000058.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
NZ_NDFI01000069.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
NZ_NHRF01000060.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NZ_NHRF01000112.1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_NOWF01000150.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
NZ_NPMS01000031.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
NZ_NPMW01000058.1,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
NZ_PEKU01000294.1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_PEKU01000405.1,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_PEKU01000435.1,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_PIZR01000043.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
