,NC_008618.1,NC_009614.1,NC_009615.1,NC_010655.1,NC_012781.1,NC_013198.1,NC_013204.1,NC_013520.1,NZ_AAVN02000001.1,NZ_AAVN02000002.1,NZ_AAVN02000003.1,NZ_AAVN02000004.1,NZ_AAVN02000005.1,NZ_AAVN02000006.1,NZ_AAVN02000007.1,NZ_AAVN02000008.1,NZ_AAVN02000009.1,NZ_AAVN02000010.1,NZ_AAVN02000011.1,NZ_AAVN02000012.1,NZ_AAVN02000013.1,NZ_AAVN02000015.1,NZ_AAVN02000016.1,NZ_AAVN02000017.1,NZ_AOSO01000005.1,NZ_AP012322.1,NZ_AP012324.1,NZ_AP012325.1,NZ_AP012326.1,NZ_AP012327.1,NZ_AP012330.1,NZ_AP012331.1,NZ_AP012334.1,NZ_AZMV01000007.1,NZ_AZYA01000019.1,NZ_AZYA01000045.1,NZ_BAKL01000051.1,NZ_BCFK01000011.1,NZ_BCFK01000023.1,NZ_BCFK01000039.1,NZ_BCFK01000047.1,NZ_BCFK01000069.1,NZ_BCFK01000075.1,NZ_BDIS01000001.1,NZ_BDIS01000016.1,NZ_CBVI010000164.1,NZ_CDJG01000011.1,NZ_CP008802.1,NZ_CP012938.1,NZ_CP016019.1,NZ_CP018757.1,NZ_CP018937.1,NZ_CYGY02000107.1,NZ_CYYV01000001.1,NZ_CYYV01000002.1,NZ_CYYV01000008.1,NZ_CZAG01000001.1,NZ_DS499577.1,NZ_DS981430.1,NZ_DS995474.1,NZ_FBWL01000032.1,NZ_FBWL01000043.1,NZ_FBWN01000044.1,NZ_FBWN01000046.1,NZ_FBWN01000088.1,NZ_FBWN01000106.1,NZ_FBWN01000152.1,NZ_FBWN01000180.1,NZ_FBWN01000264.1,NZ_FBWO01000121.1,NZ_FBWO01000143.1,NZ_FBWO01000202.1,NZ_FCNB01000103.1,NZ_FMBL01000001.1,NZ_FMBL01000003.1,NZ_FQXY01000009.1,NZ_FRFF01000140.1,NZ_FUKO01000002.1,NZ_GG697149.2,NZ_GG703852.1,NZ_GG705153.1,NZ_GG705209.1,NZ_GG705210.1,NZ_GG705211.1,NZ_GG705212.1,NZ_GG705213.1,NZ_GG705214.1,NZ_GG730107.1,NZ_GG730108.1,NZ_GG730311.1,NZ_GG770199.1,NZ_GG770200.1,NZ_GG770201.1,NZ_GG770217.1,NZ_GG774762.1,NZ_GL622625.1,NZ_GL622626.1,NZ_GL622627.1,NZ_GL622628.1,NZ_GL622629.1,NZ_GL622630.1,NZ_GL622631.1,NZ_GL622632.1,NZ_GL622633.1,NZ_GL622634.1,NZ_GL622635.1,NZ_GL622636.1,NZ_GL622637.1,NZ_GL622638.1,NZ_GL622639.1,NZ_GL622640.1,NZ_GL622641.1,NZ_GL622642.1,NZ_GL622643.1,NZ_GL622644.1,NZ_GL622647.1,NZ_GL622648.1,NZ_GL622649.1,NZ_GL622650.1,NZ_GL622651.1,NZ_GL622653.1,NZ_GL622657.1,NZ_GL622658.1,NZ_GL622659.1,NZ_GL622662.1,NZ_GL622663.1,NZ_GL945333.1,NZ_GL945336.1,NZ_GL945343.1,NZ_JAEW01000006.1,NZ_JAGQ01000002.1,NZ_JANI01000002.1,NZ_JANI01000023.1,NZ_JANI01000065.1,NZ_JANI01000069.1,NZ_JANI01000070.1,NZ_JANI01000075.1,NZ_JANI01000077.1,NZ_JGYN01000004.1,NZ_JGYN01000005.1,NZ_JGYN01000052.1,NZ_JGYS01000001.1,NZ_JGYS01000014.1,NZ_JGYS01000016.1,NZ_JGYS01000017.1,NZ_JGYU01000002.1,NZ_JGYW01000005.1,NZ_JGYX01000001.1,NZ_JGYX01000005.1,NZ_JGYX01000007.1,NZ_JGZC01000001.1,NZ_JGZC01000002.1,NZ_JGZC01000006.1,NZ_JGZJ01000005.1,NZ_JGZJ01000010.1,NZ_JGZK01000001.1,NZ_JGZK01000005.1,NZ_JGZK01000010.1,NZ_JGZK01000016.1,NZ_JGZK01000019.1,NZ_JGZK01000020.1,NZ_JGZK01000021.1,NZ_JGZK01000022.1,NZ_JGZM01000002.1,NZ_JGZM01000004.1,NZ_JGZN01000001.1,NZ_JGZN01000008.1,NZ_JGZN01000013.1,NZ_JGZN01000018.1,NZ_JGZN01000019.1,NZ_JGZP01000007.1,NZ_JGZP01000011.1,NZ_JGZP01000013.1,NZ_JGZP01000015.1,NZ_JGZR01000002.1,NZ_JGZR01000024.1,NZ_JGZV01000005.1,NZ_JGZV01000012.1,NZ_JH114382.1,NZ_JH114389.1,NZ_JH126467.1,NZ_JH636043.1,NZ_JH636044.1,NZ_JH636045.1,NZ_JH636047.1,NZ_JH660658.1,NZ_JH660660.1,NZ_JH815209.1,NZ_JHWQ01000001.1,NZ_JHWQ01000002.1,NZ_JHWQ01000004.1,NZ_JHWQ01000008.1,NZ_JHWQ01000011.1,NZ_JHWQ01000017.1,NZ_JHWQ01000018.1,NZ_JNWO01000022.1,NZ_JNWO01000070.1,NZ_JNWO01000135.1,NZ_JNWQ01000169.1,NZ_JOAW01000696.1,NZ_JOAW01000758.1,NZ_JODM01000001.1,NZ_JOEQ01000148.1,NZ_JOEQ01000163.1,NZ_JOFU01000036.1,NZ_JOFY01001209.1,NZ_JOHL01000050.1,NZ_JOHX01000055.1,NZ_JOHY01000006.1,NZ_JOHY01000062.1,NZ_JOIC01000024.1,NZ_JOIC01000025.1,NZ_JOIC01000040.1,NZ_JOIG01000005.1,NZ_JOIH01000054.1,NZ_JOII01000023.1,NZ_JOII01000039.1,NZ_JOII01000070.1,NZ_JOIS01000078.1,NZ_JOIY01000035.1,NZ_JOIY01000056.1,NZ_JOIY01000087.1,NZ_KB851182.1,NZ_KB894130.1,NZ_KB894643.1,NZ_KB905472.1,NZ_KE159493.1,NZ_KE384345.1,NZ_KE993333.1,NZ_KN214134.1,NZ_KN214135.1,NZ_KN214136.1,NZ_KN214137.1,NZ_KN214138.1,NZ_KN214139.1,NZ_KN214156.1,NZ_KQ236955.1,NZ_KQ960613.1,NZ_KQ960733.1,NZ_KV798344.1,NZ_KV801346.1,NZ_KV828772.1,NZ_LATB01000105.1,NZ_LDQB01000102.1,NZ_LM994626.1,NZ_LMQI01000001.1,NZ_LN890324.1,NZ_LN890325.1,NZ_LN890327.1,NZ_LN908984.1,NZ_LN913006.1,NZ_LRBG01000006.1,NZ_LT671675.1,NZ_LT699738.1,NZ_LT699742.1,NZ_LT699743.1,NZ_LT706966.1,NZ_LT827021.1,NZ_LT838843.1,NZ_LZST01000178.1,NZ_LZSV01000013.1,NZ_LZSV01000021.1,NZ_LZSW01000016.1,NZ_LZSW01000031.1,NZ_LZSW01000037.1,NZ_LZSW01000041.1,NZ_LZSW01000063.1,NZ_LZSW01000067.1,NZ_LZTA01000089.1,NZ_LZTA01000096.1,NZ_LZTC01000013.1,NZ_LZTC01000097.1,NZ_LZTE01000031.1,NZ_LZTE01000035.1,NZ_LZTE01000050.1,NZ_LZTE01000057.1,NZ_MJIQ01000010.1,NZ_MJIQ01000027.1,NZ_MJIQ01000053.1,NZ_MJIQ01000109.1,NZ_MJIR01000086.1,NZ_MJIR01000100.1,NZ_MUKN01000026.1,NZ_MWTQ01000056.1,NZ_MWWV01000001.1,NZ_MWWV01000013.1,NZ_MWWV01000023.1,NZ_MWWW01000004.1,NZ_MWWW01000005.1,NZ_MWWW01000009.1,NZ_MWWW01000016.1,NZ_MWWW01000017.1,NZ_MWWW01000026.1,NZ_MWWZ01000003.1,NZ_NEWD01000034.1,NZ_NFJG01000169.1,NZ_NFJH01000001.1,NZ_NGLZ01000001.1,NZ_NJNP01000001.1,NZ_NJNP01000002.1,NZ_NJNP01000003.1,NZ_NJNP01000004.1,NZ_NJNP01000006.1,NZ_NJNQ01000001.1,NZ_NJNQ01000002.1,NZ_NJNQ01000003.1,NZ_NJNQ01000006.1,NZ_NJNQ01000008.1,NZ_NJNQ01000011.1,NZ_NKXR01000001.1,NZ_NKXR01000002.1,NZ_NKXR01000003.1,NZ_NKXR01000004.1,NZ_NKXR01000005.1,NZ_NKXR01000006.1,NZ_NKXR01000007.1,NZ_NKXR01000008.1,NZ_NKXR01000009.1,NZ_NKXR01000010.1,NZ_NKXR01000011.1,NZ_NKXR01000012.1,NZ_NKXR01000013.1,NZ_NKXR01000014.1,NZ_NKXR01000015.1,NZ_NKXR01000016.1,NZ_NKXR01000017.1,NZ_NKXR01000018.1,NZ_NKXR01000019.1,NZ_NKXR01000020.1,NZ_NKXR01000021.1,NZ_NKXR01000022.1,NZ_NKXR01000025.1,NZ_NKXR01000026.1,NZ_NKXR01000027.1,NZ_NKXR01000028.1,NZ_NMWT01000003.1,NZ_NMWT01000011.1,NZ_NMWT01000022.1,NZ_NMWT01000039.1,NZ_NMWU01000046.1,NZ_NMWV01000005.1,NZ_NMWV01000006.1,NZ_NMWV01000008.1,NZ_NMWV01000011.1,NZ_NMWV01000023.1,NZ_NMWV01000040.1,NZ_NQMH01000001.1,NZ_NVPT01000038.1,NZ_NVPT01000208.1,NZ_OBMS01000006.1,NZ_OBMS01000025.1,NZ_PEBI01000005.1,NZ_PEBJ01000001.1,NZ_PEBJ01000002.1,NZ_PEBJ01000003.1,NZ_PEBJ01000004.1,NZ_PGLQ01000001.1,NZ_PGLQ01000002.1,NZ_PGLQ01000003.1,NZ_PGLQ01000013.1
NZ_AAVN02000005.1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000006.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,21.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000008.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,14.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000010.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000011.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000012.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000013.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000015.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000016.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000017.1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AOSO01000005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NZ_AP012322.1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012324.1,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,12.0,10.0,10.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,60.0,13.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,7.0,,4.0,2.0,2.0,3.0,1.0,1.0,,1.0,3.0,6.0,4.0,1.0,7.0,1.0,2.0,,,2.0,,4.0,,,,,,5.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,2.0,,2.0,4.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,4.0,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,1.0,5.0,9.0,1.0,1.0,,1.0,12.0,23.0,,,1.0,1.0,10.0,4.0,10.0,1.0,,11.0,6.0,1.0,4.0,1.0,,2.0,7.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,5.0,,,,,,,,,,2.0,8.0,3.0,3.0,15.0,3.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,47.0,12.0,1.0,63.0,,,,1.0,,4.0,,4.0,3.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,1.0
NZ_AP012325.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012326.1,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
NZ_AP012327.1,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,3.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012330.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,13.0,,22.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,2.0,1.0,,,,2.0,,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,10.0,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,3.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012331.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
NZ_AP012334.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AZMV01000007.1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,
