,NZ_AEJV01000300.1,NZ_AEJW01000306.1,NZ_AEJX01000348.1,NZ_AEME01000001.1,NZ_AJGR01000109.1,NZ_AMRJ01000086.1,NZ_AOHQ01000007.1,NZ_AOHQ01000014.1,NZ_ATAO01000179.1,NZ_BACU01000424.1,NZ_BAFU01000115.1,NZ_CP022823.1,NZ_CP024282.1,NZ_CYGX02000187.1,NZ_CYUC01000090.1,NZ_CZJT01000016.1,NZ_CZJT01000067.1,NZ_CZJV02000012.1,NZ_FBWL01000054.1,NZ_FBWN01000296.1,NZ_FZMO01000516.1,NZ_JH660541.1,NZ_JH660546.1,NZ_JNVM01000096.1,NZ_JOAW01000758.1,NZ_JOAW01000933.1,NZ_JOAX01000037.1,NZ_JOFU01000036.1,NZ_JPQD01000149.1,NZ_JPQD01000364.1,NZ_KE136626.1,NZ_KE137291.1,NZ_KE137295.1,NZ_KE137316.1,NZ_KQ235739.1,NZ_KQ235741.1,NZ_KQ235745.1,NZ_KQ235746.1,NZ_LGEL01000183.1,NZ_LGEL01000222.1,NZ_LGEL01000336.1,NZ_LGOW01000061.1,NZ_LIVN01000173.1,NZ_LSKH01000332.1,NZ_LTAB01000098.1,NZ_LYRQ01000127.1,NZ_LZSC01000061.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSH01000161.1,NZ_MKPY01000051.1,NZ_MKPY01000074.1,NZ_MPBI01000023.1,NZ_MPNT01000021.1,NZ_MSJS02000035.1,NZ_MSRF01000238.1,NZ_MUHV01000028.1,NZ_MUHV01000033.1,NZ_NAEX01000098.1,NZ_NAJR01000058.1,NZ_NDFI01000054.1,NZ_NGMM01000002.1,NZ_NPMW01000058.1,NZ_PEKU01000294.1,NZ_PEKU01000295.1,NZ_PEKU01000473.1,NZ_PIZR01000039.1,NZ_PIZR01000043.1,NZ_PIZR01000046.1,NZ_PJEP01000005.1
NZ_JOFU01000036.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
NZ_JPQD01000149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_JPQD01000364.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_KE136626.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_KE137291.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_KE137295.1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_KE137316.1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_KQ235739.1,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
NZ_KQ235741.1,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
NZ_KQ235745.1,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
NZ_KQ235746.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
NZ_LGEL01000183.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
NZ_LGEL01000222.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
NZ_LGEL01000336.1,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
NZ_LGOW01000061.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LIVN01000173.1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LSKH01000332.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LTAB01000098.1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_LYRQ01000127.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
NZ_LZSC01000061.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,
NZ_LZSE01000001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
NZ_LZSE01000015.1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
NZ_LZSE01000027.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,
NZ_LZSH01000161.1,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
NZ_MKPY01000051.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MKPY01000074.1,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MPBI01000023.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
NZ_MPNT01000021.1,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,4.0,2.0,5.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_MSJS02000035.1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MSRF01000238.1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_MUHV01000028.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
NZ_MUHV01000033.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
NZ_NAEX01000098.1,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
NZ_NAJR01000058.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
NZ_NDFI01000054.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_NGMM01000002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
NZ_NPMW01000058.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,
NZ_PEKU01000294.1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_PEKU01000295.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_PEKU01000473.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
NZ_PIZR01000039.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
NZ_PIZR01000043.1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_PIZR01000046.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
NZ_PJEP01000005.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
