,NC_008618.1,NC_009253.1,NC_009614.1,NC_010655.1,NC_012778.1,NC_012781.1,NC_014933.1,NC_015166.1,NC_021064.1,NZ_AAVN02000001.1,NZ_AAVN02000002.1,NZ_AAVN02000003.1,NZ_AAVN02000004.1,NZ_AAVN02000005.1,NZ_AAVN02000006.1,NZ_AAVN02000007.1,NZ_AAVN02000008.1,NZ_AAVN02000009.1,NZ_AAVN02000012.1,NZ_AAVN02000014.1,NZ_AAVN02000015.1,NZ_AAXA02000014.1,NZ_ACII02000003.1,NZ_ALNO01000018.1,NZ_AP012322.1,NZ_AP012324.1,NZ_AP012325.1,NZ_AP012326.1,NZ_AP012327.1,NZ_AP012330.1,NZ_AP012331.1,NZ_ATVB01000012.1,NZ_ATVU01000006.1,NZ_ATVU01000018.1,NZ_ATVU01000019.1,NZ_ATVU01000022.1,NZ_ATVU01000035.1,NZ_ATVU01000051.1,NZ_ATVU01000056.1,NZ_AUDD01000007.1,NZ_AUFI01000009.1,NZ_AVPG01000064.1,NZ_AZMV01000001.1,NZ_AZMV01000002.1,NZ_AZMV01000004.1,NZ_AZMV01000007.1,NZ_AZYA01000011.1,NZ_AZYA01000029.1,NZ_AZYA01000037.1,NZ_AZYA01000045.1,NZ_BAKK01000002.1,NZ_BAKK01000016.1,NZ_BAKK01000032.1,NZ_BAKK01000054.1,NZ_BAKK01000079.1,NZ_BAKK01000102.1,NZ_BAKL01000051.1,NZ_BAKL01000171.1,NZ_BAKL01000192.1,NZ_BAKL01000202.1,NZ_BBAB01000006.1,NZ_BBPQ01000069.1,NZ_CBVI010000064.1,NZ_CDJG01000010.1,NZ_CM001167.1,NZ_CP009913.1,NZ_CP011531.1,NZ_CP012801.1,NZ_CP012937.1,NZ_CP016019.1,NZ_CP018757.1,NZ_CP022412.2,NZ_CYXV01000001.1,NZ_CYYU01000011.1,NZ_CYYV01000005.1,NZ_CYYV01000024.1,NZ_CYZA01000004.1,NZ_CYZH01000015.1,NZ_CYZH01000028.1,NZ_CYZN01000026.1,NZ_DS264285.1,NZ_DS264391.1,NZ_DS264419.1,NZ_DS362245.1,NZ_DS480318.1,NZ_DS483525.1,NZ_DS483532.1,NZ_DS499579.1,NZ_DS499662.1,NZ_DS547024.1,NZ_DS981430.1,NZ_DS990167.1,NZ_DS990199.1,NZ_DS990202.1,NZ_DS995339.4,NZ_DS995349.1,NZ_DS995474.1,NZ_DS995651.1,NZ_DS995680.1,NZ_DS996921.1,NZ_EQ973635.1,NZ_EQ973639.1,NZ_FBWL01000087.1,NZ_FBWL01000142.1,NZ_FBWN01000024.1,NZ_FBWN01000035.1,NZ_FBWN01000037.1,NZ_FBWN01000088.1,NZ_FBWN01000102.1,NZ_FBWN01000154.1,NZ_FBWN01000233.1,NZ_FBWN01000252.1,NZ_FBWO01000023.1,NZ_FBWO01000042.1,NZ_FMUW01000001.1,NZ_FMYX01000007.1,NZ_FNCQ01000021.1,NZ_FNVV01000009.1,NZ_FNVV01000010.1,NZ_FNVV01000011.1,NZ_FNWC01000007.1,NZ_FOFK01000002.1,NZ_FRFF01000113.1,NZ_GG662007.1,NZ_GG663524.1,NZ_GG698588.1,NZ_GG698589.1,NZ_GG705209.1,NZ_GG705227.1,NZ_GG705228.1,NZ_GG705229.1,NZ_GG705230.1,NZ_GG705232.1,NZ_GG705233.1,NZ_GG705235.1,NZ_GG705237.1,NZ_GG705238.1,NZ_GG705241.1,NZ_GG705260.1,NZ_GG730108.1,NZ_GG774955.1,NZ_GG774972.1,NZ_GL622405.1,NZ_GL622506.1,NZ_GL622625.1,NZ_GL622626.1,NZ_GL622627.1,NZ_GL622628.1,NZ_GL622629.1,NZ_GL622630.1,NZ_GL622631.1,NZ_GL622632.1,NZ_GL622633.1,NZ_GL622634.1,NZ_GL622635.1,NZ_GL622636.1,NZ_GL622637.1,NZ_GL622638.1,NZ_GL622639.1,NZ_GL622640.1,NZ_GL622641.1,NZ_GL622642.1,NZ_GL622647.1,NZ_GL622648.1,NZ_GL622649.1,NZ_GL622650.1,NZ_GL622652.1,NZ_GL622655.1,NZ_GL622656.1,NZ_GL622658.1,NZ_GL622659.1,NZ_GL622663.1,NZ_GL622668.1,NZ_GL622670.1,NZ_GL635653.1,NZ_GL635657.1,NZ_GL635673.1,NZ_GL635679.1,NZ_GL834312.1,NZ_GL872350.1,NZ_GL882608.1,NZ_GL882619.1,NZ_GL882688.1,NZ_GL883831.1,NZ_GL883870.1,NZ_GL890520.1,NZ_GL890575.1,NZ_GL945333.1,NZ_GL945334.1,NZ_GL945335.1,NZ_GL945336.1,NZ_GL945337.1,NZ_GL945338.1,NZ_GL945339.1,NZ_GL945340.1,NZ_GL945341.1,NZ_GL945343.1,NZ_GL945344.1,NZ_GL945345.1,NZ_GL945346.1,NZ_GL945347.1,NZ_GL945348.1,NZ_GL945349.1,NZ_GL945352.1,NZ_GL945353.1,NZ_GL945357.1,NZ_HE978651.1,NZ_HF545616.1,NZ_JAEW01000006.1,NZ_JAGQ01000002.1,NZ_JAGQ01000004.1,NZ_JGYN01000002.1,NZ_JGYN01000020.1,NZ_JGYS01000008.1,NZ_JGYS01000022.1,NZ_JGZC01000002.1,NZ_JGZC01000006.1,NZ_JGZC01000015.1,NZ_JGZI01000002.1,NZ_JGZK01000001.1,NZ_JGZK01000002.1,NZ_JGZK01000004.1,NZ_JGZN01000013.1,NZ_JGZN01000016.1,NZ_JGZN01000027.1,NZ_JGZP01000004.1,NZ_JGZP01000012.1,NZ_JGZP01000023.1,NZ_JGZU01000001.1,NZ_JGZV01000005.1,NZ_JH114352.1,NZ_JH114361.1,NZ_JH114362.1,NZ_JH114367.1,NZ_JH114378.1,NZ_JH114379.1,NZ_JH114380.1,NZ_JH114382.1,NZ_JH114389.1,NZ_JH414870.1,NZ_JH636022.1,NZ_JH636029.1,NZ_JH724314.1,NZ_JH815209.1,NZ_JH976466.1,NZ_JH992940.1,NZ_JHWO01000002.1,NZ_JHWQ01000001.1,NZ_JHWQ01000002.1,NZ_JHWQ01000003.1,NZ_JHWQ01000004.1,NZ_JHWQ01000005.1,NZ_JHWQ01000007.1,NZ_JHWQ01000008.1,NZ_JHWQ01000013.1,NZ_JNWO01000070.1,NZ_JNWQ01000184.1,NZ_JNWT01000316.1,NZ_JNXE01000061.1,NZ_JNXE01000066.1,NZ_JNXF01000324.1,NZ_JNZW01000101.1,NZ_JOAW01000051.1,NZ_JOAW01000170.1,NZ_JOAW01000208.1,NZ_JOAW01000527.1,NZ_JOAW01000755.1,NZ_JOAW01001157.1,NZ_JOAW01001382.1,NZ_JOAX01000037.1,NZ_JOBE01000026.1,NZ_JOBE01000086.1,NZ_JOBE01000128.1,NZ_JOBE01000156.1,NZ_JOBX01000097.1,NZ_JOFX01000080.1,NZ_JOFY01001382.1,NZ_JOHZ01000032.1,NZ_JOHZ01000115.1,NZ_JOIB01000046.1,NZ_JOIB01000055.1,NZ_JOIB01000088.1,NZ_JOIF01000004.1,NZ_JOIO01000302.1,NZ_JOIP01000046.1,NZ_JOJH01000710.1,NZ_JOJM01000080.1,NZ_JTDO01000182.1,NZ_KB894130.1,NZ_KB905466.1,NZ_KB905472.1,NZ_KE150441.1,NZ_KE159493.1,NZ_KE159506.1,NZ_KE159507.1,NZ_KE159512.1,NZ_KE159567.1,NZ_KE340299.1,NZ_KI271187.1,NZ_KI271191.1,NZ_KI440802.1,NZ_KI515688.1,NZ_KI515699.1,NZ_KN214134.1,NZ_KN214135.1,NZ_KN214136.1,NZ_KN214137.1,NZ_KN214138.1,NZ_KN214139.1,NZ_KQ235757.1,NZ_KQ235758.1,NZ_KQ235759.1,NZ_KQ235761.1,NZ_KQ235762.1,NZ_KQ235764.1,NZ_KQ235771.1,NZ_KQ235772.1,NZ_KQ235773.1,NZ_KQ968722.1,NZ_KQ968743.1,NZ_KV411303.1,NZ_KV441301.1,NZ_KV804240.1,NZ_KV804412.1,NZ_KV806123.1,NZ_KV817455.1,NZ_KV820006.1,NZ_KV820052.1,NZ_KV832043.1,NZ_LATB01000227.1,NZ_LM651462.1,NZ_LN908984.1,NZ_LN913006.1,NZ_LN999828.1,NZ_LRBF01000262.1,NZ_LSIZ01000032.1,NZ_LT546010.1,NZ_LT635470.1,NZ_LT635479.1,NZ_LT635801.1,NZ_LT635807.1,NZ_LT635808.1,NZ_LT699740.1,NZ_LT707006.1,NZ_LT732526.1,NZ_LWHO01000013.1,NZ_LZSV01000021.1,NZ_LZSW01000016.1,NZ_LZSW01000037.1,NZ_LZSW01000041.1,NZ_LZSW01000067.1,NZ_LZSZ01000072.1,NZ_LZTE01000035.1,NZ_LZTE01000050.1,NZ_MDJQ01000024.1,NZ_MJHW01000002.1,NZ_MJIG01000001.1,NZ_MJIQ01000010.1,NZ_MJIQ01000027.1,NZ_MJIQ01000048.1,NZ_MJIQ01000109.1,NZ_MJIQ01000113.1,NZ_MJIR01000046.1,NZ_MQMK01000143.1,NZ_MWTQ01000056.1,NZ_MWWQ01000019.1,NZ_MWWV01000001.1,NZ_MWWV01000016.1,NZ_MWWV01000019.1,NZ_MWWW01000002.1,NZ_MWWW01000004.1,NZ_MWWZ01000013.1,NZ_NBNU01000383.1,NZ_NEWD01000004.1,NZ_NEWD01000007.1,NZ_NEWD01000026.1,NZ_NFHW01000004.1,NZ_NFHZ01000015.1,NZ_NFHZ01000020.1,NZ_NFJA01000127.1,NZ_NFJA01000146.1,NZ_NFJG01000019.1,NZ_NFJG01000023.1,NZ_NFJL01000015.1,NZ_NFJV01000045.1,NZ_NJNP01000001.1,NZ_NJNP01000002.1,NZ_NJNP01000003.1,NZ_NJNP01000004.1,NZ_NJNP01000005.1,NZ_NJNP01000006.1,NZ_NJNQ01000001.1,NZ_NJNQ01000002.1,NZ_NJNQ01000003.1,NZ_NJNQ01000004.1,NZ_NJNQ01000006.1,NZ_NJNQ01000007.1,NZ_NJNQ01000008.1,NZ_NJNQ01000009.1,NZ_NKXR01000001.1,NZ_NKXR01000002.1,NZ_NKXR01000003.1,NZ_NKXR01000004.1,NZ_NKXR01000005.1,NZ_NKXR01000006.1,NZ_NKXR01000007.1,NZ_NKXR01000008.1,NZ_NKXR01000009.1,NZ_NKXR01000010.1,NZ_NKXR01000011.1,NZ_NKXR01000012.1,NZ_NKXR01000014.1,NZ_NKXR01000015.1,NZ_NKXR01000016.1,NZ_NKXR01000017.1,NZ_NKXR01000019.1,NZ_NKXR01000020.1,NZ_NKXR01000025.1,NZ_NKXR01000027.1,NZ_NMQW01000020.1,NZ_NMWT01000017.1,NZ_NMWT01000028.1,NZ_NMWT01000039.1,NZ_NMWU01000005.1,NZ_NMWU01000070.1,NZ_NMWV01000006.1,NZ_NMWV01000011.1,NZ_NMWV01000027.1,NZ_NOIF01000256.1,NZ_NOIF01000418.1,NZ_NPJH01000040.1,NZ_NVPT01000038.1,NZ_OBMS01000004.1,NZ_OBMS01000009.1,NZ_OEPZ01000002.1,NZ_PDIX01000218.1,NZ_PGLQ01000003.1,NZ_PGLQ01000007.1
NZ_DS995680.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_DS996921.1,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_EQ973635.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_EQ973639.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWL01000087.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWL01000142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000024.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000035.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000037.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000088.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000102.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000154.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000233.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWN01000252.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWO01000023.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FBWO01000042.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FMUW01000001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_FMYX01000007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
