,NC_008261.1,NC_008618.1,NC_013520.1,NZ_ALCA01000081.1,NZ_ALKL01000001.1,NZ_ALKL01000003.1,NZ_ALKL01000004.1,NZ_ALKL01000007.1,NZ_ALKL01000009.1,NZ_ALKL01000010.1,NZ_ALKL01000011.1,NZ_ALKL01000019.1,NZ_ALKL01000021.1,NZ_ALKL01000024.1,NZ_ALNJ01000120.1,NZ_AP012324.1,NZ_AP012325.1,NZ_AP012327.1,NZ_AP012330.1,NZ_AP012331.1,NZ_AVOP01000001.1,NZ_AZMV01000007.1,NZ_AZYW01000047.1,NZ_AZYX01000010.1,NZ_AZYX01000019.1,NZ_AZYX01000021.1,NZ_BBXI01000001.1,NZ_BBXI01000002.1,NZ_BBXI01000006.1,NZ_BBXI01000008.1,NZ_BBXI01000009.1,NZ_BBXI01000013.1,NZ_BBXI01000014.1,NZ_BBXI01000016.1,NZ_BBXI01000018.1,NZ_BBXI01000021.1,NZ_BCFK01000047.1,NZ_BCFK01000077.1,NZ_BDIS01000011.1,NZ_CAGY01000001.1,NZ_CAGY01000002.1,NZ_CAGY01000007.1,NZ_CP009913.1,NZ_CP011636.1,NZ_CP016019.1,NZ_CP018757.1,NZ_CP020657.1,NZ_CP023185.1,NZ_CP025461.1,NZ_DF967922.1,NZ_FBWL01000032.1,NZ_FBWL01000046.1,NZ_FBWL01000048.1,NZ_FBWL01000079.1,NZ_FBWL01000100.1,NZ_FBWN01000038.1,NZ_FBWN01000064.1,NZ_FBWN01000066.1,NZ_FBWN01000135.1,NZ_FBWN01000143.1,NZ_FBWN01000199.1,NZ_FBWN01000230.1,NZ_FBWN01000272.1,NZ_FBWN01000283.1,NZ_FMIX01000004.1,NZ_FONB01000006.1,NZ_GG770199.1,NZ_GG770200.1,NZ_GG770201.1,NZ_GG770202.1,NZ_GG770215.1,NZ_GG770216.1,NZ_GG770217.1,NZ_GL622625.1,NZ_GL622627.1,NZ_GL622628.1,NZ_GL622629.1,NZ_GL622630.1,NZ_GL622632.1,NZ_GL622635.1,NZ_GL622637.1,NZ_GL622639.1,NZ_GL622640.1,NZ_GL622642.1,NZ_GL622643.1,NZ_GL622650.1,NZ_GL622653.1,NZ_GL622654.1,NZ_GL622657.1,NZ_GL622659.1,NZ_GL636091.1,NZ_GL882819.1,NZ_GL882823.1,NZ_HE578946.1,NZ_HE578949.1,NZ_HG417092.1,NZ_JALT01000038.1,NZ_JAPX01000001.1,NZ_JAPX01000006.1,NZ_JAPX01000015.1,NZ_JAPX01000016.1,NZ_JAPX01000019.1,NZ_JAPX01000022.1,NZ_JAPX01000023.1,NZ_JAPX01000029.1,NZ_JAPX01000030.1,NZ_JAPX01000033.1,NZ_JAPX01000034.1,NZ_JAPX01000036.1,NZ_JAPX01000040.1,NZ_JAPX01000041.1,NZ_JAPX01000042.1,NZ_JAPX01000045.1,NZ_JAPX01000047.1,NZ_JAPX01000050.1,NZ_JAQB01000030.1,NZ_JDFG01000014.1,NZ_JDFG01000039.1,NZ_JDFG01000047.1,NZ_JDFH01000014.1,NZ_JDFH01000020.1,NZ_JDFH01000023.1,NZ_JDFH01000026.1,NZ_JGYS01000001.1,NZ_JGYS01000005.1,NZ_JGYX01000007.1,NZ_JGZC01000005.1,NZ_JGZJ01000002.1,NZ_JGZK01000001.1,NZ_JGZK01000005.1,NZ_JGZK01000013.1,NZ_JGZK01000016.1,NZ_JGZK01000020.1,NZ_JGZP01000014.1,NZ_JGZR01000003.1,NZ_JGZR01000024.1,NZ_JH470338.1,NZ_JHWQ01000002.1,NZ_JHWQ01000008.1,NZ_JHWQ01000014.1,NZ_JODM01000001.1,NZ_JOEM01000016.1,NZ_JOIB01000055.1,NZ_JOIB01000088.1,NZ_JOIC01000067.1,NZ_JOIH01000042.1,NZ_JOIO01000114.1,NZ_JOJH01000442.1,NZ_JRMM01000360.1,NZ_JVGR01000006.1,NZ_JVLH01000009.1,NZ_JWGQ01000124.1,NZ_JZZX01000024.1,NZ_KB291540.1,NZ_KB291551.1,NZ_KB291553.1,NZ_KE150483.1,NZ_KQ958050.1,NZ_KQ958054.1,NZ_KQ958055.1,NZ_KQ958059.1,NZ_KQ958067.1,NZ_KQ958085.1,NZ_KQ958087.1,NZ_KQ958092.1,NZ_KQ958099.1,NZ_KQ958112.1,NZ_KQ958119.1,NZ_KQ958120.1,NZ_KQ958122.1,NZ_KQ958123.1,NZ_KQ958132.1,NZ_KQ958138.1,NZ_KQ960688.1,NZ_KQ960690.1,NZ_KQ960691.1,NZ_KQ960694.1,NZ_KQ960697.1,NZ_KQ960699.1,NZ_KQ960700.1,NZ_KQ960701.1,NZ_KQ960703.1,NZ_KQ960704.1,NZ_KQ960709.1,NZ_KQ960710.1,NZ_KQ960713.1,NZ_KQ960714.1,NZ_KQ960715.1,NZ_KQ960716.1,NZ_KQ960719.1,NZ_KQ960720.1,NZ_KQ960722.1,NZ_KQ960724.1,NZ_KQ960727.1,NZ_KQ960730.1,NZ_KQ960731.1,NZ_KQ960733.1,NZ_KQ960737.1,NZ_KQ960738.1,NZ_KQ960739.1,NZ_KQ960741.1,NZ_KQ960742.1,NZ_KQ960743.1,NZ_KV791080.1,NZ_KV791104.1,NZ_KV791124.1,NZ_KV791161.1,NZ_KV791209.1,NZ_KV792520.1,NZ_KV792534.1,NZ_KV792567.1,NZ_KV792624.1,NZ_KV793374.1,NZ_KV793378.1,NZ_KV793379.1,NZ_KV793382.1,NZ_KV793383.1,NZ_KV793386.1,NZ_KV793388.1,NZ_KV793390.1,NZ_KV793394.1,NZ_KV793402.1,NZ_KV793406.1,NZ_KV793408.1,NZ_KV793411.1,NZ_KV793427.1,NZ_KV793428.1,NZ_KV793429.1,NZ_KV793434.1,NZ_KV793439.1,NZ_KV793442.1,NZ_KV793449.1,NZ_KV793452.1,NZ_KV793456.1,NZ_KV793458.1,NZ_KV793463.1,NZ_KV793465.1,NZ_KV793468.1,NZ_KV793469.1,NZ_KV793471.1,NZ_KV793472.1,NZ_KV793473.1,NZ_KV793474.1,NZ_KV793476.1,NZ_KV793477.1,NZ_KV793479.1,NZ_KV793482.1,NZ_KV793483.1,NZ_KV793484.1,NZ_KV793485.1,NZ_KV793490.1,NZ_KV793492.1,NZ_KV793493.1,NZ_KV793495.1,NZ_KV793496.1,NZ_KV793500.1,NZ_KV793502.1,NZ_KV793503.1,NZ_KV793504.1,NZ_KV793506.1,NZ_KV793507.1,NZ_KV793508.1,NZ_KV793511.1,NZ_KV793512.1,NZ_KV795391.1,NZ_KV795397.1,NZ_KV795401.1,NZ_KV795408.1,NZ_KV795409.1,NZ_KV795416.1,NZ_KV795420.1,NZ_KV795423.1,NZ_KV795424.1,NZ_KV795425.1,NZ_KV795426.1,NZ_KV795427.1,NZ_KV795430.1,NZ_KV795431.1,NZ_KV795432.1,NZ_KV795441.1,NZ_KV795442.1,NZ_KV795444.1,NZ_KV795445.1,NZ_KV795446.1,NZ_KV795447.1,NZ_KV795449.1,NZ_KV795451.1,NZ_KV795456.1,NZ_KV795458.1,NZ_KV795466.1,NZ_KV795467.1,NZ_KV795468.1,NZ_KV795473.1,NZ_KV795476.1,NZ_KV795477.1,NZ_KV795478.1,NZ_KV795486.1,NZ_KV795487.1,NZ_KV795490.1,NZ_KV795492.1,NZ_KV795493.1,NZ_KV795494.1,NZ_KV795496.1,NZ_KV795498.1,NZ_KV795499.1,NZ_KV795500.1,NZ_KV795502.1,NZ_KV800945.1,NZ_KV809567.1,NZ_KV809568.1,NZ_KV809573.1,NZ_KV809575.1,NZ_KV809583.1,NZ_KV809627.1,NZ_KV831751.1,NZ_LEDQ01000002.1,NZ_LEES01000004.1,NZ_LEES01000046.1,NZ_LEES01000066.1,NZ_LFRE01000089.1,NZ_LN890327.1,NZ_LNHZ01000061.1,NZ_LNII01000118.1,NZ_LRBG01000006.1,NZ_LSIW01000005.1,NZ_LSIW01000031.1,NZ_LSIW01000032.1,NZ_LSIW01000035.1,NZ_LSIW01000146.1,NZ_LSIW01000164.1,NZ_LSIZ01000064.1,NZ_LSIZ01000089.1,NZ_LT906470.1,NZ_LXZX01000005.1,NZ_LZSQ01000005.1,NZ_LZST01000178.1,NZ_LZSW01000016.1,NZ_LZSW01000031.1,NZ_LZSW01000037.1,NZ_LZSW01000041.1,NZ_LZSW01000063.1,NZ_LZSW01000067.1,NZ_LZSZ01000039.1,NZ_LZTB01000056.1,NZ_LZTE01000035.1,NZ_LZTE01000050.1,NZ_LZTE01000057.1,NZ_MAEN01000001.1,NZ_MDJQ01000001.1,NZ_MJIQ01000010.1,NZ_MJIQ01000027.1,NZ_MJIQ01000048.1,NZ_MJIQ01000109.1,NZ_MJIR01000015.1,NZ_MJIR01000019.1,NZ_MJIR01000025.1,NZ_MJIR01000026.1,NZ_MJIR01000043.1,NZ_MJIR01000046.1,NZ_MJIR01000055.1,NZ_MJIR01000084.1,NZ_MJIR01000087.1,NZ_MJIR01000092.1,NZ_MJIR01000094.1,NZ_MJIR01000103.1,NZ_MSJS02000203.1,NZ_MTEG01000006.1,NZ_MWTQ01000056.1,NZ_MWWW01000004.1,NZ_MWWW01000020.1,NZ_NJNP01000002.1,NZ_NJNP01000004.1,NZ_NJNQ01000001.1,NZ_NJNQ01000005.1,NZ_NJNQ01000006.1,NZ_NMWV01000005.1,NZ_NMWV01000006.1,NZ_NMWV01000014.1,NZ_NMWV01000040.1,NZ_PDEL01000001.1,NZ_PDEL01000004.1,NZ_PDEL01000010.1,NZ_PEBJ01000002.1,NZ_PEBK01000002.1,NZ_PGLQ01000001.1,NZ_PIOL01000017.1,NZ_PJAX01000103.1
NZ_ALKL01000019.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_ALKL01000021.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_ALKL01000024.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_ALNJ01000120.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012324.1,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,18.0,7.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,2.0,,1.0,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,7.0,7.0,1.0,9.0,18.0,2.0,1.0,1.0,,4.0,6.0,1.0,,20.0,15.0,12.0,2.0,11.0,,1.0,3.0,1.0,14.0,120.0,5.0,8.0,,,4.0,2.0,,,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,1.0,,,,
NZ_AP012325.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012327.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012330.1,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012331.1,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
NZ_AVOP01000001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AZMV01000007.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AZYW01000047.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AZYX01000010.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AZYX01000019.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AZYX01000021.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBXI01000001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBXI01000002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBXI01000006.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBXI01000008.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBXI01000009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBXI01000013.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBXI01000014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
